assessment_audio_id,cefr_level,course_title,polly_voice_id,polly_engine,language_code,output_format,text_type,ssml_file,target_s3_key,lms_media_type,qa_status
BEA-FINAL-A1,A1,A1 Starter English,Amy,neural,en-GB,mp3,ssml,ssml/final_assessments/A1/bea-final-a1-a1-starter-english-final-assessment.ssml,bea/audio/A1/assessments/bea-final-a1-a1-starter-english-final-assessment.mp3,final_assessment_prompt,generated_pending_audio_qa
BEA-FINAL-A2,A2,A2 Everyday English,Emma,neural,en-GB,mp3,ssml,ssml/final_assessments/A2/bea-final-a2-a2-everyday-english-final-assessment.ssml,bea/audio/A2/assessments/bea-final-a2-a2-everyday-english-final-assessment.mp3,final_assessment_prompt,generated_pending_audio_qa
BEA-FINAL-B1,B1,B1 Independent English,Brian,neural,en-GB,mp3,ssml,ssml/final_assessments/B1/bea-final-b1-b1-independent-english-final-assessment.ssml,bea/audio/B1/assessments/bea-final-b1-b1-independent-english-final-assessment.mp3,final_assessment_prompt,generated_pending_audio_qa
BEA-FINAL-B2,B2,B2 Confident English,Amy,neural,en-GB,mp3,ssml,ssml/final_assessments/B2/bea-final-b2-b2-confident-english-final-assessment.ssml,bea/audio/B2/assessments/bea-final-b2-b2-confident-english-final-assessment.mp3,final_assessment_prompt,generated_pending_audio_qa
BEA-FINAL-C1,C1,C1 Advanced English,Brian,neural,en-GB,mp3,ssml,ssml/final_assessments/C1/bea-final-c1-c1-advanced-english-final-assessment.ssml,bea/audio/C1/assessments/bea-final-c1-c1-advanced-english-final-assessment.mp3,final_assessment_prompt,generated_pending_audio_qa
BEA-FINAL-C2,C2,C2 Mastery English,Emma,neural,en-GB,mp3,ssml,ssml/final_assessments/C2/bea-final-c2-c2-mastery-english-final-assessment.ssml,bea/audio/C2/assessments/bea-final-c2-c2-mastery-english-final-assessment.mp3,final_assessment_prompt,generated_pending_audio_qa
